category,code
Grassland,1
Annual Crop,2
Marshland/Swamp,3
Perennial Crop,4
Built-up,5
Fishpond,6
Inland Water,7
Mangrove Forest,8
Brush/Shrubs,9
Closed Forest,10
Open Forest,11
Open/Barren,12
